"시점",전체,전체,단순성매매등,단순성매매등,성매매강요,성매매강요,성매매광고,성매매광고,성매매알선등,성매매알선등
"시점",검거건수 (건),검거율 (%),검거건수 (건),검거율 (%),검거건수 (건),검거율 (%),검거건수 (건),검거율 (%),검거건수 (건),검거율 (%)
"2014",7468,98.2,3744,98.6,30,96.8,22,81.5,3672,98.0
"2015",7277,98.5,3880,98.1,24,100.0,31,81.6,3342,99.1
"2016",15065,98.7,10936,98.8,29,100.0,131,81.4,3969,99.3
"2017",9974,98.6,6754,98.9,27,100.0,118,91.5,3075,98.2
"2018",6532,97.5,4324,97.8,24,92.3,215,90.7,1969,97.7
"2019",4935,97.6,2977,97.2,18,78.3,193,96.5,1747,98.8
"2020",3150,92.9,1781,90.5,12,75.0,300,95.2,1057,97.0
"2021",3034,96.8,2092,97.0,11,91.7,172,95.6,759,96.4
